in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-2,-1,-2,0.01237,1368.233201,0.006185,45.325864,0.340328,0.170164,False,dy_4-2_dx_0-1_dy_0-2.png
-1.6,-1,-2,0.012404,1359.81345,0.006202,53.014956,0.366775,0.183387,False,dy_4-1.6_dx_0-1_dy_0-2.png
-1.2,-1,-2,0.013682,1362.606438,0.006841,79.065153,0.365905,0.182953,False,dy_4-1.2_dx_0-1_dy_0-2.png
-0.8,-1,-2,0.016802,1376.768546,0.008401,108.374485,0.454716,0.227358,False,dy_4-0.8_dx_0-1_dy_0-2.png
-0.4,-1,-2,0.021873,1402.948045,0.010936,146.651788,0.447707,0.223854,False,dy_4-0.4_dx_0-1_dy_0-2.png
0,-1,-2,0.024888,1441.787912,0.012444,175.489313,0.47971,0.239855,False,dy_40_dx_0-1_dy_0-2.png
0.4,-1,-2,0.021079,1493.267208,0.01054,210.3156,0.283739,0.141869,False,dy_40.4_dx_0-1_dy_0-2.png
0.8,-1,-2,0.015707,1556.349613,0.007854,159.206124,0.135739,0.067869,False,dy_40.8_dx_0-1_dy_0-2.png
1.2,-1,-2,0.012335,1629.218866,0.006167,145.04684,0.091947,0.045973,False,dy_41.2_dx_0-1_dy_0-2.png
1.6,-1,-2,0.010593,1709.830004,0.005297,157.44931,0.069801,0.0349,False,dy_41.6_dx_0-1_dy_0-2.png
2,-1,-2,0.009771,1796.341993,0.004886,171.186888,0.06063,0.030315,False,dy_42_dx_0-1_dy_0-2.png
-2,-0.8,-2,0.011815,1317.894556,0.005907,52.749898,0.438523,0.219261,False,dy_4-2_dx_0-0.8_dy_0-2.png
-1.6,-0.8,-2,0.011769,1311.647459,0.005885,50.641267,0.359471,0.179736,False,dy_4-1.6_dx_0-0.8_dy_0-2.png
-1.2,-0.8,-2,0.012952,1316.591103,0.006476,75.690076,0.354061,0.17703,False,dy_4-1.2_dx_0-0.8_dy_0-2.png
-0.8,-0.8,-2,0.015852,1332.719097,0.007926,104.207853,0.440396,0.220198,False,dy_4-0.8_dx_0-0.8_dy_0-2.png
-0.4,-0.8,-2,0.020542,1360.626944,0.010271,141.416579,0.430966,0.215483,False,dy_4-0.4_dx_0-0.8_dy_0-2.png
0,-0.8,-2,0.023478,1400.960332,0.011739,151.538491,0.469478,0.234739,False,dy_40_dx_0-0.8_dy_0-2.png
0.4,-0.8,-2,0.020244,1453.723013,0.010122,207.313513,0.281207,0.140604,False,dy_40.4_dx_0-0.8_dy_0-2.png
0.8,-0.8,-2,0.015325,1517.908879,0.007662,157.490652,0.135608,0.067804,False,dy_40.8_dx_0-0.8_dy_0-2.png
1.2,-0.8,-2,0.012141,1591.730495,0.00607,143.715093,0.091912,0.045956,False,dy_41.2_dx_0-0.8_dy_0-2.png
1.6,-0.8,-2,0.010475,1673.167999,0.005238,156.198201,0.069795,0.034898,False,dy_41.6_dx_0-0.8_dy_0-2.png
2,-0.8,-2,0.009688,1760.401342,0.004844,170.00617,0.060634,0.030317,False,dy_42_dx_0-0.8_dy_0-2.png
-2,-0.6,-2,0.011189,1269.981576,0.005595,43.322656,0.428046,0.214023,False,dy_4-2_dx_0-0.6_dy_0-2.png
