in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-2,-1,-2,0.00196,8551.457509,0.00098,102.808494,0.201087,0.100543,False,dy_4-2_dx_0-1_dy_0-2.png
-1.84,-1,-2,0.001944,8521.894492,0.000972,103.398214,0.195858,0.097929,False,dy_4-1.84_dx_0-1_dy_0-2.png
-1.68,-1,-2,0.001953,8503.712969,0.000977,115.86934,0.188688,0.094344,False,dy_4-1.68_dx_0-1_dy_0-2.png
-1.52,-1,-2,0.00199,8496.745232,0.000995,117.288865,0.188087,0.094043,False,dy_4-1.52_dx_0-1_dy_0-2.png
-1.36,-1,-2,0.00206,8500.924175,0.00103,118.917056,0.190221,0.095111,False,dy_4-1.36_dx_0-1_dy_0-2.png
-1.2,-1,-2,0.002168,8516.290236,0.001084,135.359756,0.189927,0.094963,False,dy_4-1.2_dx_0-1_dy_0-2.png
-1.04,-1,-2,0.002322,8542.987229,0.001161,137.968211,0.19692,0.09846,False,dy_4-1.04_dx_0-1_dy_0-2.png
-0.88,-1,-2,0.002528,8581.247082,0.001264,140.782381,0.206554,0.103277,False,dy_4-0.88_dx_0-1_dy_0-2.png
-0.72,-1,-2,0.002789,8631.363611,0.001394,161.957168,0.211686,0.105843,False,dy_4-0.72_dx_0-1_dy_0-2.png
-0.56,-1,-2,0.003098,8693.656172,0.001549,165.889066,0.223502,0.111751,False,dy_4-0.56_dx_0-1_dy_0-2.png
-0.4,-1,-2,0.003426,8768.425282,0.001713,170.024202,0.234605,0.117303,False,dy_4-0.4_dx_0-1_dy_0-2.png
-0.24,-1,-2,0.003712,8855.904236,0.001856,196.664209,0.23456,0.11728,False,dy_4-0.24_dx_0-1_dy_0-2.png
-0.08,-1,-2,0.003872,8956.212578,0.001936,202.038723,0.236501,0.11825,False,dy_4-0.08_dx_0-1_dy_0-2.png
0.08,-1,-2,0.003843,9069.31836,0.001921,207.608247,0.232124,0.116062,False,dy_40.08_dx_0-1_dy_0-2.png
0.24,-1,-2,0.003631,9195.015502,0.001816,236.103768,0.211924,0.105962,False,dy_40.24_dx_0-1_dy_0-2.png
0.4,-1,-2,0.003308,9332.920051,0.001654,252.262647,0.177866,0.088933,False,dy_40.4_dx_0-1_dy_0-2.png
0.56,-1,-2,0.002956,9482.485349,0.001478,243.513211,0.142053,0.071027,False,dy_40.56_dx_0-1_dy_0-2.png
0.72,-1,-2,0.00263,9643.032321,0.001315,249.890212,0.116823,0.058411,False,dy_40.72_dx_0-1_dy_0-2.png
0.88,-1,-2,0.002355,9813.788633,0.001177,230.48516,0.100413,0.050207,False,dy_40.88_dx_0-1_dy_0-2.png
1.04,-1,-2,0.002134,9993.929978,0.001067,236.698199,0.086533,0.043267,False,dy_41.04_dx_0-1_dy_0-2.png
1.2,-1,-2,0.001962,10182.617912,0.000981,243.206007,0.076564,0.038282,False,dy_41.2_dx_0-1_dy_0-2.png
1.36,-1,-2,0.00183,10379.030762,0.000915,249.980246,0.069359,0.03468,False,dy_41.36_dx_0-1_dy_0-2.png
1.52,-1,-2,0.001729,10582.386245,0.000865,256.993935,0.064119,0.03206,False,dy_41.52_dx_0-1_dy_0-2.png
1.68,-1,-2,0.001655,10791.956084,0.000827,264.221956,0.060297,0.030149,False,dy_41.68_dx_0-1_dy_0-2.png
1.84,-1,-2,0.0016,11007.073824,0.0008,271.641323,0.057517,0.028758,False,dy_41.84_dx_0-1_dy_0-2.png
2,-1,-2,0.00156,11227.137457,0.00078,266.915689,0.04865,0.024325,False,dy_42_dx_0-1_dy_0-2.png
-2,-0.92,-2,0.001926,8423.844466,0.000963,100.846528,0.19692,0.09846,False,dy_4-2_dx_0-0.92_dy_0-2.png
